word,word_diacritics_free,type
za,za,preposition
před,pred,preposition
pod,pod,preposition
nad,nad,preposition
mezi,mezi,preposition
z,z,preposition
z,z,preposition
do,do,preposition
bez,bez,preposition
kromě,krome,preposition
krom,krom,preposition
místo,misto,preposition
podle,podle,preposition
podél,podel,preposition
kolem,kolem,preposition
okolo,okolo,preposition
u,u,preposition
vedle,vedle,preposition
během,behem,preposition
pomocí,pomoci,preposition
stran,stran,preposition
prostřednictvím,prostrednictvim,preposition
za,za,preposition
vinou,vinou,preposition
naproti,naproti,preposition
proti,proti,preposition
oproti,oproti,preposition
kvůli,kvuli,preposition
díky,diky,preposition
vůči,vuci,preposition
za,za,preposition
před,pred,preposition
mimo,mimo,preposition
na,na,preposition
pode,pode,preposition
pod,pod,preposition
nade,nade,preposition
nad,nad,preposition
mezi,mezi,preposition
skrze,skrze,preposition
skrz,skrz,preposition
přes,pres,preposition
o,o,preposition
po,po,preposition
v,v,preposition
na,na,preposition
v,v,preposition
po,po,preposition
při,pri,preposition
proto,proto,conjunction
a proto,a proto,conjunction
tak,tak,conjunction
a tak,a tak,conjunction
tudíž,tudiz,conjunction
a tudíž,a tudiz,conjunction
tedy,tedy,conjunction
a,a,conjunction
i,i,conjunction
ani,ani,conjunction
nebo,nebo,conjunction
či,ci,conjunction
přímo,primo,conjunction
nadto,nadto,conjunction
ani–ani,ani–ani,conjunction
jak–tak,jak–tak,conjunction
hned–hned,hned–hned,conjunction
jednak–jednak,jednak–jednak,conjunction
zčásti–zčásti,zcasti–zcasti,conjunction
dílem–dílem,dilem–dilem,conjunction
a,a,conjunction
ale,ale,conjunction
avšak,avsak,conjunction
však,vsak,conjunction
leč,lec,conjunction
nýbrž,nybrz,conjunction
naopak,naopak,conjunction
jenomže,jenomze,conjunction
jenže,jenze,conjunction
sice–ale,sice–ale,conjunction
jistě–ale,jiste–ale,conjunction
i,i,conjunction
ba,ba,conjunction
ba i,ba i,conjunction
ba ani,ba ani,conjunction
nadto,nadto,conjunction
dokonce,dokonce,conjunction
nejen – ale i,nejen – ale i,conjunction
nejen – nýbrž i,nejen – nybrz i,conjunction
nebo,nebo,conjunction
aneb,aneb,conjunction
buď–nebo,bud–nebo,conjunction
buď–anebo,bud–anebo,conjunction
totiž,totiz,conjunction
vždyť,vzdyt,conjunction
neboť,nebot,conjunction
vždyť,vzdyt,conjunction
totiž,totiz,conjunction
však,vsak,conjunction
také,take,conjunction
aby,aby,conjunction
jakmile,jakmile,conjunction
až,az,conjunction
než,nez,conjunction
nežli,nezli,conjunction
zatímco,zatimco,conjunction
když,kdyz,conjunction
kdyby,kdyby,conjunction
pokud,pokud,conjunction
protože,protoze,conjunction
poněvadž,ponevadz,conjunction
jelikož,jelikoz,conjunction
jestliže,jestlize,conjunction
přestože,prestoze,conjunction
ačkoli,ackoli,conjunction
třebaže,trebaze,conjunction
i když,i kdyz,conjunction
ač,ac,conjunction
že,ze,conjunction
sotva,sotva,conjunction
i když,i kdyz,conjunction
